,Date,Location,Dead,Injured,Total,Description,State,Year
9,"March 29, 2009","Carthage, North Carolina",8,3[n 1],11,"Carthage nursing home shooting: A man attacked the workplace of his estranged wife, killing eight people and wounding two others before being arrested.", North Carolina,2009
10,"March 10, 2009","Geneva and Samson, Alabama",11,6,17,Geneva County shootings: A man killed ten people and wounded six others in a shooting spree before committing suicide.[206], Alabama,2009
11,"December 24, 2008","Covina, California",10,3,13,Covina massacre: A man entered his former in-laws' home armed with four handguns and a homemade flamethrower. He killed nine people and injured three before committing suicide.[207], California,2008
12,"September 2, 2008","Skagit County, Washington",6,2,8,2008 Skagit County shootings: A man killed six people and wounded two others in several locations before being arrested by police., Washington,2008
13,"July 27, 2008","Knoxville, Tennessee",2,7[n 20],9,"Knoxville Unitarian Universalist church shooting: A former truck driver opened fire at a church during a church youth performance, killing two and wounding six before being restrained by churchgoers. A manifesto written by the gunman attributed the shooting to hatred of liberals, Democrats, African-Americans, and homosexuals.", Tennessee,2008
14,"June 25, 2008","Henderson, Kentucky",6,1,7,Atlantis Plastics shooting: A plastic factory worker shot his superintendent and five co-workers before committing suicide., Kentucky,2008
15,"February 14, 2008","DeKalb, Illinois",6,21,27,"Northern Illinois University shooting: A former graduate student entered a lecture hall and opened fire, killing five people and wounding twenty-one before committing suicide.", Illinois,2008
16,"February 7, 2008","Kirkwood, Missouri",7,1,8,"Kirkwood City Council shooting: A man opened fire during a public city council meeting, killing six people and injuring one other before being shot and killed by police.[208]", Missouri,2008
17,"February 2, 2008","Tinley Park, Illinois",5,1,6,Lane Bryant shooting: Four customers and the clothing store manager were killed and a part-time employee was injured in a robbery gone awry.[209], Illinois,2008
18,"February 1, 2008","Cockeysville, Maryland",4,0,4,Browning family murders: A fifteen-year-old boy shot and killed his parents and two brothers in their home. The gunman allegedly killed his family so he would not be required to share his inheritance.[210], Maryland,2008
19,"December 24, 2007","Carnation, Washington",6,0,6,"2007 Carnation murders: A woman and her boyfriend killed the former's parents, brother, sister-in-law, niece, and nephew at the parent's home.", Washington,2007
20,"December 9, 2007","Arvada and Colorado Springs, Colorado",5,5,10,"2007 Colorado YWAM and New Life shootings: A man stormed a dormitory at the Youth With A Mission organization in Arvada, Colorado, before driving to Colorado Springs and attacking the New Life Church. He killed four people and wounded five others before committing suicide.", Colorado,2007
21,"December 5, 2007","Omaha, Nebraska",9,6,15,Westroads Mall shooting: A 19-year-old killed eight people and wounded four in a Von Maur department store at the Westroads Mall before committing suicide., Nebraska,2007
22,"October 10, 2007","Cleveland, Ohio",1,5[n 21],6,2007 SuccessTech Academy shooting: A fourteen-year-old student wounded four at his school before committing suicide.[211], Ohio,2007
23,"October 7, 2007","Crandon, Wisconsin",7,1,8,Crandon shooting: An off-duty sheriff's deputy entered a homecoming party at a duplex with a semiautomatic rifle and killed six people and wounded one. He killed himself later that day., Wisconsin,2007
24,"August 12, 2007","Neosho, Missouri",3,5,8,"Neosho church shooting: A man killed three people and wounded five others at a church, specifically targeting church leaders. The shooter surrendered to law enforcement.[212]", Missouri,2007
25,"June 14, 2007","Joliet, Illinois",4,1[n 1],5,Vaughn family murders: Four family members were fatally shot and another wounded inside a car. The wounded husband was arrested and convicted of the murders.[213], Illinois,2007
26,"April 16, 2007","Blacksburg, Virginia",33,17,50,"Virginia Tech shooting: A 23-year-old student killed thirty-two students and teachers, and wounded seventeen others. Other people were injured attempting to escape. When police stormed the building he was in, the shooter killed himself.", Virginia,2007
27,"March 14, 2007",New York City,4,0,4,2007 New York City shooting: A man shot and killed a man inside a Pizzeria and two NYPD Auxiliary officers before being shot and killed by police.,New York City,2007
28,"February 12, 2007","Salt Lake City, Utah",6,4,10,Trolley Square shooting: A man opened fire in a parking garage and shopping mall and killed five people and injured four others before being killed by police., Utah,2007
29,"October 2, 2006","Bart Township, Lancaster County, Pennsylvania",6,5,11,"West Nickel Mines School shooting: A man took hostages in an Amish schoolhouse, and killed five schoolgirls and injured five others before committing suicide.", Pennsylvania,2006
30,"July 28, 2006","Seattle, Washington",1,6[n 22][n 16],7,"Seattle Jewish Federation shooting: The perpetrator forced his way into the building, repeatedly shouting that he was angry at Israel and wanted to make a statement, he killed one and injured six.[214]", Washington,2006
31,"June 25, 2006","Denver, Colorado",2,5,7,"2006 Denver shooting: A man fired a handgun at his co-workers in a Safeway warehouse, killing one and wounding four. The perpetrator was killed and an officer was wounded in a gunfight with police.[215]", Colorado,2006
32,"June 1, 2006","Indianapolis, Indiana",7,0,7,Hamilton Avenue murders: Two perpetrators killed a family of seven in a house at 560 North Hamilton Avenue., Indiana,2006
33,"May 29, 2006","Milwaukee, Wisconsin",2,3,5,"Memorial Day park shooting: A man shot five people execution-style during a Memorial Day picnic, killing two. The primary suspect, the ex-husband of one of the injured, was placed on the FBI Ten Most Wanted Fugitives list, captured in 2022, and died in custody in 2023.[216]", Wisconsin,2006
34,"March 25, 2006","Seattle, Washington",7,2,9,"Capitol Hill massacre: A guest returned to a house party armed with a shotgun and a semiautomatic handgun. He shot indiscriminately, killing six people and injuring two, before committing suicide.", Washington,2006
35,"January 30, 2006","Goleta, California",8,0,8,"Goleta postal facility shootings: A woman killed her neighbor before driving to the mail processing plant, where she shot and killed six people before committing suicide.", California,2006
36,"November 20, 2005","Tacoma, Washington",0,6,6,Tacoma Mall shooting: A man attempted suicide by cop by opening fire in a shopping mall with an illegal MAK 90 semi-automatic rifle and a pistol. He injured six people and took four hostages before surrendering to a SWAT team., Washington,2005
37,"May 30, 2005","Oklahoma City, Oklahoma",4,0,4,"Oklahoma City home shooting: Several men invaded a trailer home and forced four people outside, where they were shot to death with a rifle. The perpetrators believed that one of the victims had been responsible for a motorcycle accident that left one of the perpetrators severely injured.[217]", Oklahoma,2005
38,"March 21, 2005","Red Lake, Minnesota",10,5,15,Red Lake shootings: A 16-year-old student killed nine people and wounded five others before committing suicide., Minnesota,2005
39,"March 12, 2005","Brookfield, Wisconsin",8,4,12,"Living Church of God shooting: A man shot and killed seven members of his church and wounded four others, before committing suicide in a Sheraton hotel.[218]", Wisconsin,2005
